date,member,avg_sst,u_wind_stress
2026-04-03,mem013,-27.581841453722348,-1.2106283793600414
2026-04-03,mem009,-27.399870357142845,-0.24326610375056576
2026-04-03,mem055,-27.481263419894333,-0.47204257217046625
2026-04-03,mem060,-27.47807206174545,-1.087593371819297
2026-04-03,mem077,-27.400626631664977,-0.45918125756304734
2026-04-03,mem052,-27.479085143360095,-1.1770553086043325
2026-04-03,mem066,-27.42434148075955,-0.8164131994190144
2026-04-03,mem014,-27.409739148641847,-0.4869148018624937
2026-04-03,mem004,-27.421811009808806,-0.5843728121678069
2026-04-03,mem022,-27.472732989813835,-0.336724612436117
2026-04-03,mem073,-27.502370110663975,-1.6320123540463907
2026-04-03,mem007,-27.501021012323946,-1.1113866223578923
2026-04-03,mem035,-27.499597489310844,-1.2264099550690268
2026-04-03,mem036,-27.483851202213287,-0.4751209061918573
2026-04-03,mem052,-27.49921952716298,-1.432028592653345
2026-04-03,mem017,-27.456352987927545,-1.0055349299943925
2026-04-03,mem075,-27.440370271629746,-1.2904213925914576
2026-04-03,mem078,-27.451299633425492,-1.3247677513991007
2026-04-03,mem022,-27.50582390907948,-0.08203822294729629
2026-04-03,mem045,-27.39563321365688,-0.06539811124037972
2026-04-03,mem011,-27.450323565769622,-0.552594225329678
2026-04-03,mem049,-27.40330326961768,-0.806939360408765
2026-04-03,mem064,-27.47694631790742,-0.6883340133024674
2026-04-03,mem076,-27.409395066649893,-0.44634283042596823
2026-04-03,mem012,-27.537489292630767,-0.8229640556179642
2026-04-03,mem046,-27.517572437751483,-1.4007457722058732
2026-04-03,mem059,-27.553848638707223,-1.2555888194498241
2026-04-03,mem053,-27.42468890279173,-1.0452269579497862
2026-04-03,mem071,-27.496718001131768,-0.3093799923699509
2026-04-03,mem073,-27.465795872107606,-1.8337036401511946
2026-04-03,mem077,-27.405888241322913,-0.43265377906396507
2026-04-03,mem013,-27.552707331488904,-0.9968365517494505
2026-04-03,mem044,-27.443478736795754,-0.4753945265193435
2026-04-03,mem030,-27.445793173415495,-0.8087734839636507
2026-04-03,mem055,-27.49500669957237,-0.29277779187874087
2026-04-03,mem006,-27.499780813002985,-0.2928857674227867
2026-04-03,mem045,-27.420834668008013,-0.383290189565
2026-04-03,mem078,-27.462867506916467,-1.559316370264449
2026-04-03,mem003,-27.53408811053825,-1.0819589562900969
2026-04-03,mem043,-27.405162761569358,-0.9404242361602252
2026-04-03,mem033,-27.343450542630762,-0.9593193221619468
2026-04-03,mem059,-27.549921209758537,-1.469081550056099
2026-04-03,mem039,-27.370516409708216,-1.6987998504668156
2026-04-03,mem020,-27.50318891159455,-1.1264218300568096
2026-04-03,mem008,-27.50271038040742,-1.5824948525203786
2026-04-03,ensmean,-27.453412559104606,-0.7513158021296843
2026-04-03,mem066,-27.38167171340541,-1.0679965919383867
2026-04-03,ensmean,-27.452737904929563,-0.9248159394879087
2026-04-03,mem061,-27.504203914109667,-0.7138900888649774
2026-04-03,mem012,-27.536340392354106,-0.4999240162167632
2026-04-03,mem001,-27.443030072308858,-0.36557043961863556
2026-04-03,mem062,-27.42034767605631,-0.8421766142932785
2026-04-03,mem042,-27.54264444227863,-0.6773234512417884
2026-04-03,mem065,-27.431871001006016,-0.8141415620710318
2026-04-03,mem006,-27.43875611229879,-0.06757939026995084
2026-04-03,mem065,-27.41704687437121,-0.900382508610815
2026-04-03,mem033,-27.359545882796766,-0.9082032387252328
2026-04-03,mem039,-27.39147054577461,-1.4796249529332368
2026-04-03,mem008,-27.496284927062362,-1.7681061439790366
2026-04-03,mem047,-27.405596715291722,-1.0783122456217615
2026-04-03,mem023,-27.473326773138837,-0.6980414193634433
2026-04-03,mem032,-27.382140819290726,-0.8599260536951648
2026-04-03,mem011,-27.45675539989935,-0.4067518865873048
2026-04-03,mem020,-27.434391092806834,-0.9489616813088847
2026-04-03,mem028,-27.520615796026135,-1.7275180325111104
2026-04-03,mem010,-27.408272509431555,-0.09328711078119949
2026-04-03,mem063,-27.45640450264085,0.43816633441602737
2026-04-03,mem044,-27.470834283199167,-0.6064077433941714
2026-04-03,mem024,-27.47700470196176,-0.6893511849741828
2026-04-03,mem005,-27.43256495850102,-1.0438728532299972
2026-04-03,mem041,-27.405383613556324,-1.4222214273568976
2026-04-03,mem080,-27.48045176056337,-0.8978220561454111
2026-04-03,mem053,-27.450799332243434,-1.0513453293650967
2026-04-03,mem016,-27.48970649899394,-0.30705108285431326
2026-04-03,mem058,-27.419649804451666,-1.3083378032975856
2026-04-03,mem050,-27.456475240819884,-1.7136368584337083
2026-04-03,mem023,-27.445615226986888,-0.6295910696538417
2026-04-03,mem005,-27.423527856514028,-1.3302904751549545
2026-04-03,mem021,-27.393248888329992,-1.0717733488679138
2026-04-03,mem054,-27.53439165115691,-0.5279074598045413
2026-04-03,mem040,-27.454035201207205,-0.11427733198685104
2026-04-03,mem002,-27.445342730759535,-1.3184202366660778
2026-04-03,mem080,-27.4805494152414,-0.9845419787508234
2026-04-03,mem001,-27.475893366448673,-0.23284655547732436
2026-04-03,mem047,-27.434900803571395,-0.8960554268718436
2026-04-03,mem064,-27.498938614185107,-0.5598528912148893
2026-04-03,mem043,-27.364867328973816,-0.6748275572037223
2026-04-03,mem042,-27.528021521000994,-0.37671701296709637
2026-04-03,mem068,-27.415407008928554,-0.8911584200503018
2026-04-03,mem060,-27.412482029678046,-0.8197229220796539
2026-04-03,mem010,-27.434942890467795,0.0847377491021126
2026-04-03,mem063,-27.494137088153906,0.19408053625147148
2026-04-03,mem056,-27.43016480382289,-0.46427474752039766
2026-04-03,mem068,-27.41888403169014,-0.6311760450718248
2026-04-03,mem029,-27.463092564763542,-1.6136944540980884
2026-04-03,mem056,-27.350186331111644,-0.5795335391572874
2026-04-03,mem030,-27.45948641473842,-0.9325659944112925
2026-04-03,mem026,-27.453327372359098,-0.34001422580160345
2026-04-03,mem009,-27.41617941146876,-0.16531398622840304
2026-04-03,mem024,-27.482306366322916,-0.5280005406086581
2026-04-03,mem069,-27.416251436745426,-1.5023782349164863
2026-04-03,mem019,-27.470294171277658,-0.018791890988059577
2026-04-03,mem049,-27.377700303697196,-0.7306998035779627
2026-04-03,mem048,-27.40281635311868,-1.4518385782660401
2026-04-03,mem031,-27.450311492077475,0.016402943517278692
2026-04-03,mem015,-27.46852393863179,-0.6132116967675239
2026-04-03,mem057,-27.471019590040243,-0.6619436939743713
2026-04-03,mem074,-27.380059534079464,-1.5637950052572813
2026-04-03,mem014,-27.40546252829475,-0.21361387379103072
2026-04-03,mem034,-27.38927989562376,-0.025300986094787425
2026-04-03,mem028,-27.571716019240426,-1.5187879489013076
2026-04-03,mem016,-27.516452544642817,-0.4282577082841172
2026-04-03,mem061,-27.519743379024106,-0.928520009597613
2026-04-03,mem027,-27.438545242077424,-1.2429472317643302
2026-04-03,mem007,-27.510947261066406,-1.1531753134036404
2026-04-03,mem004,-27.404479308350062,-0.8987891086668572
2026-04-03,mem025,-27.46668440832491,-1.4145970614746606
2026-04-03,mem054,-27.477671363807815,-0.42886078953819684
2026-04-03,mem029,-27.46217004149898,-1.3896148466022424
2026-04-03,mem075,-27.369528875754497,-1.3427263172527037
2026-04-03,mem076,-27.4274128005533,-0.19539370825084576
2026-04-03,mem051,-27.461665544517075,-1.4351883537133803
2026-04-03,mem070,-27.40279890719313,-0.4841670257429075
2026-04-03,mem071,-27.516600903546276,-0.5269808134012889
2026-04-03,mem018,-27.371938338782684,-0.6522435659092491
2026-04-03,mem021,-27.411822608148867,-0.9595612535411041
2026-04-03,mem041,-27.45433558035711,-1.272313479910894
2026-04-03,mem051,-27.468644756036213,-1.2092768924380535
2026-04-03,mem038,-27.43626663921023,-0.49755736963283465
2026-04-03,mem046,-27.502698594064356,-1.6609157956061806
2026-04-03,mem074,-27.43075186619717,-1.4601754081438068
2026-04-03,mem050,-27.46104293699696,-1.5470609126675177
2026-04-03,mem058,-27.405336969944642,-1.4131635459859786
2026-04-03,mem018,-27.387988956866195,-0.7792161141112676
2026-04-03,mem025,-27.464373025653913,-1.2246992208109404
2026-04-03,mem067,-27.401991623490915,-0.9252271106727928
2026-04-03,mem032,-27.380493925427544,-0.97998731973838
2026-04-03,mem035,-27.50810583815391,-1.5869708259937876
2026-04-03,mem057,-27.415036207243418,-0.715011491112789
2026-04-03,mem034,-27.42374418888329,-0.23554624635444485
2026-04-03,mem079,-27.512208490945653,-0.8585005549516286
2026-04-03,mem048,-27.462317619466774,-1.6244075262189386
2026-04-03,mem027,-27.4482442869718,-1.0956500044461543
2026-04-03,mem036,-27.503962357897336,-0.6618801350641033
2026-04-03,mem040,-27.446148705985905,-0.35869178542725083
2026-04-03,mem015,-27.447266663732393,-0.7827296587094127
2026-04-03,mem002,-27.43862060739437,-1.530439414299055
2026-04-03,mem019,-27.4739167347837,-0.07545038653327477
2026-04-03,mem072,-27.46571933853113,-0.3527293485543764
2026-04-03,mem038,-27.388516001634798,-0.39624219914128506
2026-04-03,mem070,-27.39758972334002,-0.6891035644691149
2026-04-03,mem069,-27.48988087588026,-1.321990218297309
2026-04-03,mem031,-27.453148535588497,0.21975556124815784
2026-04-03,mem072,-27.487007213908413,-0.6065965424731736
2026-04-03,mem017,-27.4555860110664,-0.9272863799717359
2026-04-03,mem079,-27.49216523704726,-1.0224329206311622
2026-04-03,mem067,-27.399673063380277,-0.7395914040334068
2026-04-03,mem003,-27.477418895246444,-0.8941472556179013
2026-04-03,mem037,-27.525092241574413,-1.0252900861546026
2026-04-03,mem026,-27.459215633802756,-0.5369467347165046
2026-04-03,mem037,-27.508835864562343,-1.1066373085354062
2026-04-03,mem062,-27.41128722774144,-0.7195875053620852
