time,nino34_anom,pred
1970-05-01,-0.3000000119209289,-0.11145265
1970-06-01,-0.6899999976158142,-0.5032084
1970-07-01,-1.0800000429153442,-0.9347313
1970-08-01,-1.2599999904632568,-1.0868044
1970-09-01,-1.0700000524520874,-1.2481605
1970-10-01,-1.1200000047683716,-1.024782
1970-11-01,-1.1299999952316284,-1.1969045
1970-12-01,-1.3300000429153442,-1.2786286
1971-01-01,-1.7300000190734863,-1.6335468
1971-02-01,-1.5700000524520874,-1.5227292
1971-03-01,-1.3600000143051147,-1.3781765
1971-04-01,-1.1799999475479126,-1.3077421
1971-05-01,-0.9800000190734864,-1.0114003
1971-06-01,-1.1299999952316284,-0.94572335
1971-07-01,-1.1699999570846558,-1.0038592
1971-08-01,-1.100000023841858,-1.1494341
1971-09-01,-1.0,-1.1241558
1971-10-01,-1.2400000095367432,-1.0842625
1971-11-01,-1.149999976158142,-1.34535
1971-12-01,-1.2300000190734863,-1.1280171
1972-01-01,-0.9200000166893004,-1.0073627
1972-02-01,-0.449999988079071,-0.5275264
1972-03-01,-0.1899999976158142,-0.36559713
1972-04-01,0.0700000002980232,-0.07148145
1972-05-01,0.3799999952316284,0.28546637
1972-06-01,0.449999988079071,0.560067
1972-07-01,0.8500000238418579,0.6867566
1972-08-01,1.090000033378601,1.1018485
1972-09-01,1.2300000190734863,1.2702372
1972-10-01,1.5399999618530271,1.2409412
1972-11-01,1.899999976158142,1.7294683
1972-12-01,2.0899999141693115,1.9757435
1973-01-01,1.7999999523162842,1.8102376
1973-02-01,1.2000000476837158,1.1605352
1973-03-01,0.270000010728836,0.43194154
1973-04-01,-0.5799999833106995,-0.30479488
1973-05-01,-0.9700000286102296,-1.2006783
1973-06-01,-1.1799999475479126,-1.096887
1973-07-01,-1.5399999618530271,-1.259348
1973-08-01,-1.6299999952316284,-1.516558
1973-09-01,-1.659999966621399,-1.397641
1973-10-01,-1.9800000190734863,-1.6120418
1973-11-01,-2.369999885559082,-1.9660558
1973-12-01,-2.259999990463257,-2.1617649
1974-01-01,-2.0899999141693115,-1.9589243
1974-02-01,-1.659999966621399,-1.7829945
1974-03-01,-1.4500000476837158,-1.2754536
1974-04-01,-1.3600000143051147,-1.288942
1974-05-01,-1.2899999618530271,-1.3214046
1974-06-01,-1.2000000476837158,-1.173511
1974-07-01,-0.8999999761581421,-1.2592345
1974-08-01,-0.5199999809265137,-0.792768
1974-09-01,-0.6399999856948853,-0.7343891
1974-10-01,-0.9399999976158142,-0.6798657
1974-11-01,-1.090000033378601,-0.9707572
1974-12-01,-0.9700000286102296,-0.8334743
1975-01-01,-0.449999988079071,-0.6555445
1975-02-01,-0.6800000071525574,-0.6044235
1975-03-01,-1.090000033378601,-0.74738634
1975-04-01,-0.959999978542328,-1.1210625
1975-05-01,-1.1299999952316284,-0.83784527
1975-06-01,-1.5,-1.1631342
1975-07-01,-1.3899999856948853,-1.4395268
1975-08-01,-1.5199999809265137,-1.4536216
1975-09-01,-1.659999966621399,-1.7670678
1975-10-01,-1.830000042915344,-1.7137059
1975-11-01,-1.659999966621399,-1.8292141
